state_id,state_pop,state_weighted_dist
01,4809280,16.243636910866300
04,6865715,26.79896244866650
05,2953319,25.130848719233200
06,38691041,11.319414394343200
08,5467766,23.163149386948000
09,3546789,9.665929455947620
10,939651,11.9849918205919
11,675182,8.894511624175410
12,20386265,11.809116524266600
13,10171713,22.27240238241790
16,1666752,32.96039258461010
17,12673412,8.156631276981130
18,6558995,16.819498877453300
19,3094074,35.42322876634590
20,2872135,34.01554059209510
21,4387410,27.302372697241000
22,4606478,13.954612517960100
23,1320166,46.77296478873340
24,5935995,9.911412685776010
25,6761317,7.051613678505390
26,9846021,22.799133189003300
27,5460483,34.601800932980100
28,2953805,16.023777835760300
29,6018622,18.277661429606100
30,1030154,100.10530962745200
31,1879758,27.378622943103800
32,2889793,23.415898426171400
33,1331607,23.225474316395200
34,8786172,8.74500124350707
35,2029457,59.45041014534230
36,19401482,9.945914496751230
37,10041403,19.256657567018700
38,741594,16.545680098606500
39,11507938,14.679775211684800
40,3868574,33.45974209100820
41,4040093,30.650861743293000
42,12654296,11.391596117143600
44,1046251,7.435944963372080
45,4899989,15.089181722939200
46,852792,79.05576799325980
47,6575703,22.011502358365600
48,27505786,17.63727635510250
49,2997126,11.889047491041400
50,619499,48.08282542720970
51,8314115,14.680718961360400
53,7210228,11.790824144537900
54,1809965,41.78965765836140
55,5714267,23.956234236234700
56,575221,115.39041526918500